date,trading_volume
2023-07-13,224590016.04
2023-07-14,207965458.21
2023-07-15,76612965.68
2023-07-16,61267816.92
2023-07-17,191170254.41
2023-07-18,122984482.02
2023-07-19,130593713.28
2023-07-20,132574453.70
2023-07-21,150929240.06
2023-07-22,117533214.07
2023-07-23,45903782.43
2023-07-24,120452954.47
2023-07-25,97225073.25
2023-07-26,146472698.66
2023-07-27,131500757.27
2023-07-28,118451157.01
2023-07-29,68854229.81
2023-07-30,406690321.58
2023-07-31,353609224.69
2023-08-01,413082739.51
2023-08-02,187852296.11
2023-08-03,164934962.28
2023-08-04,198320702.18
2023-08-05,743414593.51
2023-08-06,124566784.95
2023-08-07,302003210.81
2023-08-08,212851539.38
2023-08-09,137065257.94
2023-08-10,138327473.59
2023-08-11,134327007.09
2023-08-12,52654776.57
2023-08-13,424732135.65
2023-08-14,192697756.16
2023-08-15,165479159.73
2023-08-16,150128199.22
2023-08-17,314493574.29
2023-08-18,313657441.69
2023-08-19,122388771.07
2023-08-20,68137630.51
2023-08-21,139723691.45
2023-08-22,183342803.85
2023-08-23,98694288.75
2023-08-24,100786126.48
2023-08-25,108333997.09
2023-08-26,45278266.86
2023-08-27,42509781.71
2023-08-28,95361933.77
2023-08-29,185393653.62
2023-08-30,142683328.63
2023-08-31,111160472.36
2023-09-01,129490554.91
2023-09-02,84799590.79
2023-09-03,38489687.91
2023-09-04,56419029.20
2023-09-05,94731200.60
2023-09-06,176307117.11
2023-09-07,110215573.38
2023-09-08,68843210.28
2023-09-09,32373140.79
2023-09-10,43597760.50
2023-09-11,139145157.98
2023-09-12,186500280.95
2023-09-13,114894747.21
2023-09-14,67315605.28
2023-09-15,111357826.49
2023-09-16,57191383.51
2023-09-17,44762397.18
2023-09-18,85346781.61
2023-09-19,110044991.60
2023-09-20,82102131.34
2023-09-21,90425406.57
2023-09-22,87819270.96
2023-09-23,56746296.12
2023-09-24,78653243.81
2023-09-25,110792034.48
2023-09-26,96083980.44
2023-09-27,99184527.31
2023-09-28,153720549.73
2023-09-29,117335695.37
2023-09-30,89905157.81
2023-10-01,67264567.74
2023-10-02,156893356.69
2023-10-03,80408706.04
