date,token_incentives
2023-04-19,374903.31
2023-04-20,829841.27
2023-04-21,538453.16
2023-04-22,348952.83
2023-04-23,473669.36
2023-04-24,414638.68
2023-04-25,422058.38
2023-04-26,444579.22
2023-04-27,835279.51
2023-04-28,418518.90
2023-04-29,453887.82
2023-04-30,386098.72
2023-05-01,370697.59
2023-05-02,261110.68
2023-05-03,442051.55
2023-05-04,866766.30
2023-05-05,318613.15
2023-05-06,387893.76
2023-05-07,354854.38
2023-05-08,449662.42
2023-05-09,474315.13
2023-05-10,417234.78
2023-05-11,235544.44
2023-05-12,1155562.34
2023-05-13,417978.52
2023-05-14,370731.36
2023-05-15,296647.80
2023-05-16,365232.18
2023-05-17,447939.49
2023-05-18,683928.77
2023-05-19,472084.52
2023-05-20,424786.49
2023-05-21,384364.20
2023-05-22,322752.43
2023-05-23,415913.47
2023-05-24,460512.72
2023-05-25,674179.57
2023-05-26,457832.51
2023-05-27,424081.78
2023-05-28,354954.92
2023-05-29,437486.43
2023-05-30,335885.95
2023-05-31,427969.77
2023-06-01,570719.41
2023-06-02,561593.57
2023-06-03,424785.62
2023-06-04,367360.41
2023-06-05,335371.92
2023-06-06,393267.23
2023-06-07,354055.25
2023-06-08,645643.58
2023-06-09,365884.06
2023-06-10,309234.20
2023-06-11,328929.32
2023-06-12,328031.78
2023-06-13,294094.39
2023-06-14,230506.06
2023-06-15,568005.09
2023-06-16,296707.22
2023-06-17,335952.60
2023-06-18,273864.04
2023-06-19,316666.87
2023-06-20,300419.20
2023-06-21,310577.21
2023-06-22,549373.98
2023-06-23,331979.19
2023-06-24,335706.15
2023-06-25,347726.33
2023-06-26,327779.75
2023-06-27,364249.00
2023-06-28,274658.75
2023-06-29,512674.81
2023-06-30,457563.85
2023-07-01,409450.17
2023-07-02,350802.27
2023-07-03,414123.27
2023-07-04,271798.06
2023-07-05,324980.39
2023-07-06,598828.33
2023-07-07,378434.93
2023-07-08,493405.88
2023-07-09,372899.76
2023-07-10,401609.57
2023-07-11,416251.05
2023-07-12,361770.07
2023-07-13,521131.31
2023-07-14,482999.05
2023-07-15,395845.34
2023-07-16,383637.10
2023-07-17,421887.49
2023-07-18,310674.68
2023-07-19,414344.65
2023-07-20,499089.15
2023-07-21,393408.78
2023-07-22,406624.78
2023-07-23,386943.06
2023-07-24,319658.92
2023-07-25,319317.90
2023-07-26,406781.46
2023-07-27,435547.75
2023-07-28,451618.39
2023-07-29,358261.06
2023-07-30,358463.49
2023-07-31,271588.85
2023-08-01,334419.59
2023-08-02,296732.80
2023-08-03,342469.19
2023-08-04,356598.52
2023-08-05,300049.50
2023-08-06,266995.03
2023-08-07,286874.59
2023-08-08,268636.84
2023-08-09,301298.65
2023-08-10,349919.27
2023-08-11,287218.78
2023-08-12,310026.32
2023-08-13,263341.02
2023-08-14,222854.83
2023-08-15,229456.23
